0.923,0.4512,1
0.7233,-0.0443,1
-1.0781,1.5081,1
0.9727,-0.7082,1
1.8577,-0.4548,1
-0.5343,-0.0862,0
-1.0844,0.5339,0
0.227,0.003,1
0.5453,-0.0892,1
0.4942,-0.3827,1
0.532,-1.9094,0
1.7455,-0.4307,1
-0.0587,0.1269,1
-0.3009,0.2198,0
-0.746,0.9339,1
0.4356,1.2762,1
1.1825,-0.4125,1
-1.4852,-0.4864,0
1.7045,0.4217,1
0.981,0.7018,1
0.0284,-0.0743,0
-0.3779,-1.9053,0
0.0429,2.1667,1
0.5019,-0.1877,1
-0.0707,-1.8881,0
0.2117,1.7268,1
-0.2287,1.45,1
-0.5615,0.103,0
0.6509,-1.4532,0
-0.4305,-2.0542,0
-1.6488,1.376,0
-2.3285,-0.2571,0
0.2718,0.3693,1
-0.2839,-0.4596,0
0.1923,-1.442,0
-1.6745,-1.0611,0
-0.6087,1.8806,1
0.6749,-0.0752,1
-0.2297,-0.6161,0
-1.6465,-0.692,0
-1.3635,1.0704,0
-0.6035,0.5375,0
0.974,-0.0736,1
-0.5238,-1.5097,0
1.6814,0.4615,1
0.421,-2.1342,0
0.7027,0.4824,1
1.6134,-0.5055,1
1.59,0.1336,1
-0.0616,0.1335,1
